course,dept_abbv,course_no
GEOG295,GEOG,295
GEOG317,GEOG,317
GEOG323,GEOG,323
GEOG326,GEOG,326
GEOG332,GEOG,332
GEOG337,GEOG,337
GEOG375,GEOG,375
GERMAN103,GERMAN,103
GERMAN195,GERMAN,195
GERMAN210,GERMAN,210
GERMAN304,GERMAN,304
GERMAN307,GERMAN,307
GREEK301,GREEK,301
GWSS272,GWSS,272
GWSS300,GWSS,300
GWSS302,GWSS,302
HCDE231,HCDE,231
HINDI321,HINDI,321
HONORS205,HONORS,205
HONORS242,HONORS,242
HONORS381,HONORS,381
HSERV346,HSERV,346
HSTAA203,HSTAA,203
HSTAA270,HSTAA,270
HSTAA316,HSTAA,316
HSTAA332,HSTAA,332
HSTAA336,HSTAA,336
HSTAFM263,HSTAFM,263
HSTAFM361,HSTAFM,361
HSTAM290,HSTAM,290
HSTAM314,HSTAM,314
HSTAM335,HSTAM,335
HSTAS214,HSTAS,214
HSTAS235,HSTAS,235
HSTAS317,HSTAS,317
HSTCMP210,HSTCMP,210
HSTCMP220,HSTCMP,220
HSTCMP248,HSTCMP,248
HSTCMP314,HSTCMP,314
HSTEU303,HSTEU,303
HSTEU370,HSTEU,370
HSTRY288,HSTRY,288
HUM208,HUM,208
I BUS340,I BUS,340
IND E310,IND E,310
IND E311,IND E,311
IND E338,IND E,338
INDO311,INDO,311
INDO313,INDO,313
INFO314,INFO,314
INFO370,INFO,370
ISS381,ISS,381
ITAL303,ITAL,303
ITAL306,ITAL,306
ITAL341,ITAL,341
ITAL351,ITAL,351
ITAL353,ITAL,353
JAPAN317,JAPAN,317
JAPAN343,JAPAN,343
JAPAN344,JAPAN,344
JEW ST210,JEW ST,210
JEW ST295,JEW ST,295
JSIS A206,JSIS A,206
JSIS A211,JSIS A,211
JSIS A327,JSIS A,327
JSIS A339,JSIS A,339
JSIS A348,JSIS A,348
JSIS A357,JSIS A,357
JSIS A360,JSIS A,360
JSIS B103,JSIS B,103
JSIS B301,JSIS B,301
JSIS B320,JSIS B,320
JSIS B330,JSIS B,330
JSIS B332,JSIS B,332
JSIS B337,JSIS B,337
JSIS B385,JSIS B,385
JSIS E113,JSIS E,113
JSIS E301,JSIS E,301
JSIS310,JSIS,310
JSIS385,JSIS,385
L ARCH361,L ARCH,361
L ARCH363,L ARCH,363
LATIN102,LATIN,102
LATIN301,LATIN,301
LAW100,LAW,100
LING210,LING,210
LING212,LING,212
LING220,LING,220
LSJ301,LSJ,301
LSJ310,LSJ,310
LSJ380,LSJ,380
M E333,M E,333
M E373,M E,373
M SCI301,M SCI,301
M SCI302,M SCI,302
MARBIO305,MARBIO,305
MATH301,MATH,301
MATH328,MATH,328
MATH340,MATH,340
MATH381,MATH,381
MATH394,MATH,394
MATH395,MATH,395
MATH396,MATH,396
MGMT305,MGMT,305
MGMT311,MGMT,311
MKTG370,MKTG,370
MODHEB202,MODHEB,202
MODHEB203,MODHEB,203
MSE333,MSE,333
MSE342,MSE,342
MSE351,MSE,351
